actors,budget,country,creator,description,duration,genre,public,score,title,year
"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",63000000,United States,Lana Wachowski,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",136,Action,R,8.7,The Matrix,1999
"Morgan Freeman, Brad Pitt, Kevin Spacey",33000000,United States,David Fincher,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",127,Crime,R,8.6,Se7en,1995
"Lawrence Hauben, Bo Goldman, Ken Kesey",3000000,United States,Milos Forman,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",133,Drama,R,8.7,One Flew Over the Cuckoo's Nest,1975
"Mark Hamill, Harrison Ford, Carrie Fisher",18000000,United States,Irvin Kershner,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",124,Action,PG,8.7,Star Wars: Episode V - The Empire Strikes Back,1980
"Frances Goodrich, Albert Hackett, Frank Capra",3180000,United States,Frank Capra,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,130,Drama,PG,8.6,It's a Wonderful Life,1946
"Nicholas Pileggi, Martin Scorsese, Robert De Niro",25000000,United States,Martin Scorsese,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",145,Biography,R,8.7,Goodfellas,1990
"Tim Robbins, Morgan Freeman, Bob Gunton",25000000,United States,Frank Darabont,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",142,Drama,R,9.3,The Shawshank Redemption,1994
"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",160000000,United States,Christopher Nolan,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro...",148,Action,PG-13,8.8,Inception,2010
"Timothée Chalamet, Zendaya, Rebecca Ferguson",190000000,United States,Denis Villeneuve,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,166,Action,PG-13,8.8,Dune: Part Two,2024
"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",94000000,New Zealand,Peter Jackson,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179,Action,PG-13,8.8,The Lord of the Rings: The Two Towers,2002
