actors,creator,description,duration,episodes,genre,public,score,seasons,title,year
"Michael Jordan,Phil Jackson,Scottie Pippen",Michael Jordan,"Led by Michael Jordan, the 1990s Chicago Bulls establish themselves as one of the most notable dynasties in sports history.",491.0,10,Documentary,TV-MA,9.1,1,The Last Dance,2020
"Bob Kane,Eric Radomski,Bruce Timm",Bob Kane,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,23.0,85,Animation,TV-PG,9.0,4,Batman: The Animated Series,1992
"Vince Gilligan,Bryan Cranston,Aaron Paul",Vince Gilligan,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,45.0,62,Crime,TV-MA,9.5,5,Breaking Bad,2008
"Hiromu Arakawa,Kent Williams,Iemasa Kayumi",Hiromu Arakawa,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,24.0,68,Animation,TV-14,9.1,2010,Fullmetal Alchemist: Brotherhood,2009
"Peter Coyote,Huy Duc,James Willbanks",Peter Coyote,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,990.0,10,Documentary,TV-MA,9.1,1,The Vietnam War,2017
"Oprah Winfrey,David Attenborough,Doug Allan",Oprah Winfrey,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evo...,473.0,11,Documentary,TV-G,9.1,1,Life,2009
"Mark Gatiss,Steven Moffat,Benedict Cumberbatch",Mark Gatiss,"The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's...",88.0,15,Crime,TV-14,9.1,4,Sherlock,2010
"Rod Serling,Rod Serling,Robert McCord",Rod Serling,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",51.0,156,Drama,TV-PG,9.1,5,The Twilight Zone,1959
"Dan Harmon,Justin Roiland,Chris Parnell",Dan Harmon,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,23.0,74,Animation,TV-MA,9.1,10,Rick and Morty,2013
"April 5, 2019 (United States),Official Facebook,Official Instagram",David Attenborough,"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematogra...",50.0,12,Documentary,TV-PG,9.3,2,Our Planet,2019
"Laurence Olivier,Averell Harriman,Anthony Eden",Laurence Olivier,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",0.0,26,Documentary,TV-PG,9.2,1974,The World at War,1973
"Joe Brumm,David McCormack,Melanie Zanetti",Joe Brumm,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,7.0,173,Animation,TV-Y,9.4,3,Bluey,2018
"David Benioff,D.B. Weiss,Emilia Clarke",David Benioff,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.",55.0,74,Action,TV-MA,9.2,8,Game of Thrones,2011
"Ann Druyan,Carl Sagan,Steven Soter",Ann Druyan,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,0.0,13,Documentary,TV-PG,9.3,1,Cosmos,1980
